global_rank,program,program_priority,category_rank_for_program,merchant_or_category_target,monetization_status,first_content_angle,route_rule
15,Skimlinks,2,5,kitchen gadget lists,pending_account_or_merchant_approval,Best kitchen gadget lists for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
16,Skimlinks,2,6,personal finance app lists,pending_account_or_merchant_approval,Best personal finance app lists for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
17,Skimlinks,2,7,travel accessory guides,pending_account_or_merchant_approval,Best travel accessory guides for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
18,Skimlinks,2,8,beauty/grooming value picks,pending_account_or_merchant_approval,Best beauty/grooming value picks for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
19,Skimlinks,2,9,pet supplies guides,pending_account_or_merchant_approval,Best pet supplies guides for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
20,Skimlinks,2,10,student/remote-work essentials,pending_account_or_merchant_approval,Best student/remote-work essentials for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
21,eBay Partner Network,3,1,refurbished laptops,pending_account_or_merchant_approval,Best refurbished laptops for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
22,eBay Partner Network,3,2,open-box smartphones,pending_account_or_merchant_approval,Best open-box smartphones for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
23,eBay Partner Network,3,3,used camera gear,pending_account_or_merchant_approval,Best used camera gear for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
24,eBay Partner Network,3,4,gaming consoles and accessories,pending_account_or_merchant_approval,Best gaming consoles and accessories for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
25,eBay Partner Network,3,5,collectible cards/comics,pending_account_or_merchant_approval,Best collectible cards/comics for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
26,eBay Partner Network,3,6,vintage audio equipment,pending_account_or_merchant_approval,Best vintage audio equipment for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
27,eBay Partner Network,3,7,car parts and accessories,pending_account_or_merchant_approval,Best car parts and accessories for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
28,eBay Partner Network,3,8,power tools and workshop gear,pending_account_or_merchant_approval,Best power tools and workshop gear for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
29,eBay Partner Network,3,9,maker/electronics parts,pending_account_or_merchant_approval,Best maker/electronics parts for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
30,eBay Partner Network,3,10,sneaker/streetwear resale guides,pending_account_or_merchant_approval,Best sneaker/streetwear resale guides for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
31,ShareASale publisher,4,1,home decor merchants,pending_account_or_merchant_approval,Best home decor merchants for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
32,ShareASale publisher,4,2,kitchen specialty merchants,pending_account_or_merchant_approval,Best kitchen specialty merchants for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
33,ShareASale publisher,4,3,pet supply merchants,pending_account_or_merchant_approval,Best pet supply merchants for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
34,ShareASale publisher,4,4,hobby/craft merchants,pending_account_or_merchant_approval,Best hobby/craft merchants for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
35,ShareASale publisher,4,5,subscription box merchants,pending_account_or_merchant_approval,Best subscription box merchants for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
36,ShareASale publisher,4,6,apparel/accessory merchants,pending_account_or_merchant_approval,Best apparel/accessory merchants for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
37,ShareASale publisher,4,7,wellness non-medical merchants,pending_account_or_merchant_approval,Best wellness non-medical merchants for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
38,ShareASale publisher,4,8,outdoor gear merchants,pending_account_or_merchant_approval,Best outdoor gear merchants for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
39,ShareASale publisher,4,9,B2B SaaS/tool merchants,pending_account_or_merchant_approval,Best B2B SaaS/tool merchants for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
40,ShareASale publisher,4,10,printable/template merchants,pending_account_or_merchant_approval,Best printable/template merchants for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
41,FlexOffers publisher,5,1,retail coupons and deals,pending_account_or_merchant_approval,Best retail coupons and deals for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
42,FlexOffers publisher,5,2,home improvement offers,pending_account_or_merchant_approval,Best home improvement offers for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
43,FlexOffers publisher,5,3,electronics retailers,pending_account_or_merchant_approval,Best electronics retailers for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
44,FlexOffers publisher,5,4,business software offers,pending_account_or_merchant_approval,Best business software offers for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
45,FlexOffers publisher,5,5,financial app offers without regulated claims,pending_account_or_merchant_approval,Best financial app offers without regulated claims for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
46,FlexOffers publisher,5,6,education/course platforms,pending_account_or_merchant_approval,Best education/course platforms for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
47,FlexOffers publisher,5,7,travel booking accessories,pending_account_or_merchant_approval,Best travel booking accessories for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
48,FlexOffers publisher,5,8,fitness gear not health-claim driven,pending_account_or_merchant_approval,Best fitness gear not health-claim driven for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
49,FlexOffers publisher,5,9,baby/family products,pending_account_or_merchant_approval,Best baby/family products for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
50,FlexOffers publisher,5,10,seasonal gift guides,pending_account_or_merchant_approval,Best seasonal gift guides for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
51,Impact.com publisher,6,1,SaaS productivity brands,pending_account_or_merchant_approval,Best SaaS productivity brands for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
52,Impact.com publisher,6,2,creator economy tools,pending_account_or_merchant_approval,Best creator economy tools for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
53,Impact.com publisher,6,3,web hosting/domain brands,pending_account_or_merchant_approval,Best web hosting/domain brands for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
54,Impact.com publisher,6,4,travel/luggage brands,pending_account_or_merchant_approval,Best travel/luggage brands for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
55,Impact.com publisher,6,5,retail marketplace brands,pending_account_or_merchant_approval,Best retail marketplace brands for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
56,Impact.com publisher,6,6,financial software apps with compliance review,pending_account_or_merchant_approval,Best financial software apps with compliance review for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
57,Impact.com publisher,6,7,security/VPN/password manager tools,pending_account_or_merchant_approval,Best security/VPN/password manager tools for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
58,Impact.com publisher,6,8,online learning platforms,pending_account_or_merchant_approval,Best online learning platforms for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
59,Impact.com publisher,6,9,design/template marketplaces,pending_account_or_merchant_approval,Best design/template marketplaces for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
60,Impact.com publisher,6,10,home services/maintenance brands,pending_account_or_merchant_approval,Best home services/maintenance brands for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
61,Walmart affiliate / Walmart Creator,7,1,budget kitchen appliances,pending_account_or_merchant_approval,Best budget kitchen appliances for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
62,Walmart affiliate / Walmart Creator,7,2,household essentials,pending_account_or_merchant_approval,Best household essentials for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
63,Walmart affiliate / Walmart Creator,7,3,storage and organization,pending_account_or_merchant_approval,Best storage and organization for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
64,Walmart affiliate / Walmart Creator,7,4,seasonal decor,pending_account_or_merchant_approval,Best seasonal decor for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
65,Walmart affiliate / Walmart Creator,7,5,baby/family basics,pending_account_or_merchant_approval,Best baby/family basics for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
66,Walmart affiliate / Walmart Creator,7,6,budget electronics,pending_account_or_merchant_approval,Best budget electronics for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
67,Walmart affiliate / Walmart Creator,7,7,school/office supplies,pending_account_or_merchant_approval,Best school/office supplies for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
68,Walmart affiliate / Walmart Creator,7,8,home fitness gear,pending_account_or_merchant_approval,Best home fitness gear for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
69,Walmart affiliate / Walmart Creator,7,9,pet basics,pending_account_or_merchant_approval,Best pet basics for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
70,Walmart affiliate / Walmart Creator,7,10,holiday gift value picks,pending_account_or_merchant_approval,Best holiday gift value picks for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
71,Target Partners,8,1,home organization,pending_account_or_merchant_approval,Best home organization for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
72,Target Partners,8,2,kitchen and dining,pending_account_or_merchant_approval,Best kitchen and dining for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
73,Target Partners,8,3,beauty/grooming,pending_account_or_merchant_approval,Best beauty/grooming for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
74,Target Partners,8,4,school supplies,pending_account_or_merchant_approval,Best school supplies for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
75,Target Partners,8,5,baby/kids gear,pending_account_or_merchant_approval,Best baby/kids gear for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
76,Target Partners,8,6,seasonal decor,pending_account_or_merchant_approval,Best seasonal decor for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
77,Target Partners,8,7,budget furniture,pending_account_or_merchant_approval,Best budget furniture for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
78,Target Partners,8,8,wellness lifestyle products without medical claims,pending_account_or_merchant_approval,Best wellness lifestyle products without medical claims for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
79,Target Partners,8,9,cleaning supplies,pending_account_or_merchant_approval,Best cleaning supplies for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
80,Target Partners,8,10,gift guides under price caps,pending_account_or_merchant_approval,Best gift guides under price caps for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
81,Etsy affiliate program,9,1,unique gifts,pending_account_or_merchant_approval,Best unique gifts for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
82,Etsy affiliate program,9,2,printables/templates,pending_account_or_merchant_approval,Best printables/templates for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
83,Etsy affiliate program,9,3,wall art and decor,pending_account_or_merchant_approval,Best wall art and decor for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
84,Etsy affiliate program,9,4,handmade jewelry,pending_account_or_merchant_approval,Best handmade jewelry for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
85,Etsy affiliate program,9,5,wedding/event goods,pending_account_or_merchant_approval,Best wedding/event goods for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
86,Etsy affiliate program,9,6,craft supplies,pending_account_or_merchant_approval,Best craft supplies for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
87,Etsy affiliate program,9,7,personalized accessories,pending_account_or_merchant_approval,Best personalized accessories for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
88,Etsy affiliate program,9,8,nursery/kids decor,pending_account_or_merchant_approval,Best nursery/kids decor for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
89,Etsy affiliate program,9,9,planner/productivity templates,pending_account_or_merchant_approval,Best planner/productivity templates for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
90,Etsy affiliate program,9,10,niche fandom-adjacent goods without IP misuse,pending_account_or_merchant_approval,Best niche fandom-adjacent goods without IP misuse for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
91,AliExpress affiliate,10,1,cheap gadget experiments,pending_account_or_merchant_approval,Best cheap gadget experiments for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
92,AliExpress affiliate,10,2,phone accessories,pending_account_or_merchant_approval,Best phone accessories for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
93,AliExpress affiliate,10,3,maker/electronics accessories,pending_account_or_merchant_approval,Best maker/electronics accessories for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
94,AliExpress affiliate,10,4,desk accessories,pending_account_or_merchant_approval,Best desk accessories for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
95,AliExpress affiliate,10,5,LED/decor items,pending_account_or_merchant_approval,Best LED/decor items for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
96,AliExpress affiliate,10,6,craft supplies,pending_account_or_merchant_approval,Best craft supplies for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
97,AliExpress affiliate,10,7,car accessories,pending_account_or_merchant_approval,Best car accessories for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
98,AliExpress affiliate,10,8,bike/scooter accessories,pending_account_or_merchant_approval,Best bike/scooter accessories for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
99,AliExpress affiliate,10,9,kitchen novelty tools,pending_account_or_merchant_approval,Best kitchen novelty tools for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
100,AliExpress affiliate,10,10,hobby mini-tools,pending_account_or_merchant_approval,Best hobby mini-tools for practical buyers on StuffPrettyGood,Do not route monetized links until account/merchant approval is confirmed; use disclosure and neutral editorial copy.
